Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
29907409,এন্ডলেস নাইট,Agatha Christie,"Christie, Agatha",Abdar Rashid,"=""""","=""9789849023203""",5,3.81,আদী প্রকাশন,Hardcover,188,2013,1967,,2016/04/14,,,read,,,,1,0
38596161,নেভার স্টপ লার্নিং,Ayman Sadiq,"Sadiq, Ayman",,"=""""","=""9789848072059""",3,3.49, অধ্যয়ন প্রকাশনী,Hardcover,141,2018,,,2018/02/17,,,read,ভিডিও গুলাই শুধু বইয়ের পৃষ্ঠায় ছাপনো।,,,1,1
38613452,বিগ ব্যাং থেকে হোমো স্যাপিয়েনস,Muhammed Zafar Iqbal,"Iqbal, Muhammed Zafar",Muhammed Zafar Iqbal,"=""""","=""9789849352693""",3,3.85,জ্ঞানকোষ প্রকাশনী,Hardcover,55,2018,,,2018/03/10,,,read,"বইয়ের যা টাইটেল সে অনুযায়ী বইয়ের পৃষ্টা হওয়ার কথা ছিলো ৫০০+, সেখানে মাত্র ৫৬ পৃষ্টায়(ছোট ফন্টে) একেবারে বিগ ব্যাং থেকে হোমো স্যাপিয়েনস । যাহোক বইটা মোটেও বড়দের জন্য না। এটা হতে পারে বাচ্চাদের জন্য বই যাদের বিজ্ঞানের প্রতি আগ্রহ তৈরি করাবে। যদিও এই বইয়ের প্রায় সবকিছু স্যারের ‘একটুখানি বিজ্ঞান’ ও ‘আরো একটুখানি বিজ্ঞান’ বইদুটাতে দেয়া আছে।",,,1,1
16240309,ঘনাদা সমগ্র ২,Premendra Mitra,"Mitra, Premendra",Onkarnath Bhattacharya,"=""8177561014""","=""9788177561012""",3,4.34,আনন্দ পাবলিশার্স,Hardcover,640,2001,2001,2018/04/16,2018/03/21,,,read,,,,1,1
35598550,দুনিয়ার ঘনাদা,Premendra Mitra,"Mitra, Premendra",,"=""""","=""""",3,3.92,দে'জ পাবলিশিং,ebook,109,1964,1964,2018/04/16,2018/03/21,,,read,,,,1,0
16138216,"কঙ্কাল দ্বীপ (তিন গোয়েন্দা, #২)",Rakib Hassan,"Hassan, Rakib",,"=""""","=""""",5,4.22,সেবা প্রকাশনী,Paperback,,1985,1985,2018/04/16,2016/04/07,,,read,,,,1,0
34321675,"দ্য ডেভিল কলোনি (Sigma Force, #7)",James Rollins,"Rollins, James",আদনান আহমেদ রিজন,"=""""","=""""",5,4.18,আদী প্রকাশন,Hardcover,348,2017,2011,,2018/04/16,,,read,,,,1,1
35910817,কপোট্রনিক সুখ দুঃখ,Muhammed Zafar Iqbal,"Iqbal, Muhammed Zafar",,"=""""","=""""",5,4.11,,,,,,,2017/01/12,,,read,,,,1,0
38614753,সাইক্লোন,Muhammed Zafar Iqbal,"Iqbal, Muhammed Zafar",Muhammed Zafar Iqbal,"=""""","=""9789848058151""",3,3.61,,Hardcover,160,2018,2018,2018/02/20,2018/02/04,,,read,গল্পটা ভালোবাসার গল্প। ভাইবোনের ভালোবাসার গল্প। গল্পটা দুঃসাহসী এক কিশোরীর গল্প । <br/>বইটা প্রথমেই হাতে নিয়ে উৎসর্গ পত্র পড়ছিলাম। মন খারাপ হয়ে গেছিলো। সেই হিসেবে প্রত্যাশা বেশি ছিলো......পুরণ হয় নি।,,,1,1
34113774,"দ্য ডুমসডে কী (Sigma Force, #6)",James Rollins,"Rollins, James","রাফসান রেজা রিয়াদ, Maruf Hossain","=""""","=""""",4,4.17,আদী প্রকাশন,Hardcover,384,2017,2009,2018/03/21,2018/03/10,,,read,,,,1,0
